File name,Number of stations,Number of robots,Number of tasks,RD,RF,West ratio,Graph structure,Desired OS,Order strength,Times distribution
instance_n=20_502_RF0.2_R1_S5,5,1,20,0.2,0.2,2,MIXED,0.9,0.8,bimodal
Task id,Human time,Robot time,Collaboration time,Predecessors,,,,,,
1,112,-1,-1,,,,,,,
2,67,-1,46,,,,,,,
3,295,590,-1,1,,,,,,
4,428,-1,-1,3,,,,,,
5,162,-1,-1,3,,,,,,
6,386,772,-1,5,,,,,,
7,502,-1,-1,5,,,,,,
8,391,-1,273,"4, 7",,,,,,
9,82,-1,-1,"2, 6, 7",,,,,,
10,305,610,-1,"4, 6",,,,,,
11,107,-1,-1,"2, 10",,,,,,
12,40,-1,-1,"4, 9",,,,,,
13,113,-1,79,"8, 9",,,,,,
14,105,210,-1,"12, 13",,,,,,
15,145,-1,-1,"11, 12, 13",,,,,,
16,161,-1,-1,"14, 15",,,,,,
17,257,-1,-1,15,,,,,,
18,21,-1,-1,17,,,,,,
19,161,-1,112,"16, 17",,,,,,
20,32,-1,-1,16,,,,,,
